hyp	tgt
Ich wuchs mit einer Mutter auf, die mir das Tag für Tag beigebracht hat.	"Ich wuchs mit einer Mutter auf, die mich das Tag für Tag lehrte."
Aber erst als ich 30 wurde, verstand ich, was das bedeutete.	"Aber erst als ich 30 wurde, habe ich wirklich verstanden, was das bedeutet."
Und ich werde es Ihnen kurz erklären.	Und ich werde das kurz für Sie zusammenfassen.
Wenn Sie glauben, dass Sie eine schöne Person sind, von innen und außen, gibt es keinen Look, den Sie nicht schaffen können.	"Wenn Sie glauben, dass Sie innen und aussen eine wunderbare Person sind, dann gibt es nichts, was Sie nicht tragen können."
Es gibt also keine Ausrede für uns hier im Publikum.	Es gibt also keine Entschuldigung für jemanden hier in diesem Publikum.
Wir sollten in der Lage sein, alles zu rocken, was wir wollen. Danke.	"Wir sollten in der Lage sein, alles zu rocken, was wir wollen. Vielen Dank."
Freitag, eine universelle Wahrheit, fünf Wörter für Sie: Gold, Sequenzen, gehen Sie mit allem.	Freitag: Eine universelle Wahrheit – fünf Wörter: Goldene Pailleten passen zu allem.
Und schließlich, Samstag: Entwickeln Sie Ihren eigenen, einzigartigen, persönlichen Stil, um der Welt etwas über Sie zu erzählen, ohne ein Wort zu sagen.	"Und letztendlich, Samstag: Einen eigenen, einzigartigen, persönlichen Stil zu entwickeln, ist eine tolle Art, der Welt etwas über einen zu erzählen, ohne dabei ein Wort sagen zu müssen."
Es wurde mir immer wieder bewiesen, als Leute diese Woche auf mich zukamen, einfach wegen dem, was ich trage, und wir hatten großartige Gespräche.	"Es wurde mir immer und immer wieder bewiesen, wenn in dieser Woche Menschen auf mich zu kamen, einfach nur wegen dem, was ich trug. Und ich hatte großartige Gespräche."
Das alles passt offensichtlich nicht in meinen kleinen Koffer.	Offensichtlich wird das nicht alles in meinen winzigen Koffer passen.
Ich liebe es, sie zu finden, zu tragen und, seit kurzem, zu fotografieren und zu bloggen, ein anderes, farbenfrohes, verrücktes Outfit für jeden einzelnen Anlass.	"Ich liebe es, zu jeder Gelegenheit ein anderes farbenfrohes, verrücktes Outfit zu finden, zu tragen, und in letzter Zeit auch zu fotografieren und zu bloggen."
Bevor ich also nach Hause nach Brooklyn gehe, werde ich alles zurückgeben.	"Bevor ich also heim nach Brooklyn gehe, werde ich das alles wieder spenden."
Denn die Lektion, die ich in dieser Woche zu lernen versuche, ist, dass es okay ist, loszulassen.	"Denn die Lektion, die ich selber diese Woche versuche zu lernen ist, dass es okay ist, los zu lassen."
Ich muss mich nicht emotional an diese Dinge anschließen, denn immer wieder wird eine andere verrückte, farbenfrohe, glänzende Kleidung für mich bereit stehen, wenn ich ein wenig Liebe in mein Herz stecke und nachsehe.	"Ich muss diesen Dinge nicht emotional anhaften, denn gleich um die Ecke wird es immer ein anderes verrücktes, farbenfrohes, strahlendes Outfit geben, das nur auf mich wartet, wenn ich ein bisschen Lieben im Herzen habe und es suche."
Vielen Dank.	Ich danke Ihnen vielmals.
	Danke schön.
Aber ich kaufe nichts Neues.	Aber ich kaufe nichts Neues.
Ich kaufe alle meine Kleidung gebraucht von Floh-Märkten und Billigläden.	Ich bekomme all meine Kleider aus zweiter Hand auf Flohmärkten und in Second-Hand-Shops.
Vielen Dank.	"Ooh, danke schön."
Second Hand Shopping ermöglicht es mir, den Einfluss meines Outfits auf die Umwelt und meinen Geldbeutel zu reduzieren.	"Second-Hand-Shopping erlaubt mir, den Einfluss meiner Garderobe auf die Umwelt zu reduzieren und auch den auf meine Geldbörse."
Ich treffe alle möglichen großartigen Menschen. Meine Dollars gehen normalerweise an eine gute Sache. Ich sehe ziemlich einzigartig aus und es macht das Einkaufen zu meiner eigenen persönlichen Schatzsuche.	Ich treffe alle möglichen tollen Leute; meine Dollars dienen für gewöhnlich einem guten Zweck; ich sehe ziemlich einzigartig aus; und es macht Einkaufen zu meiner ganz persönlichen Schatzsuche.
Was werde ich heute finden?	"Ich meine, was werde ich heute finden?"
Wird es meine Größe sein?	Wird es meine Größe haben?
Werde ich die Farbe mögen?	Wird es weniger als 20 Dollar kosten?
20 Dollar. Wenn alle Antworten ja sind, fühle ich mich, als ob ich gewonnen hätte.	"Wenn alle Antworten Ja lauten, fühle ich mich, als ob ich gewonnen habe."
Ich möchte zurück zu meinem Koffer und Ihnen erzählen, was ich für diese aufregende Woche hier bei TED mitgenommen habe.	"Ich komme zurück auf meinen Koffer, und erzähle Ihnen, was ich für diese aufregende Woche hier bei TED eingepackt habe."
Was brachte jemand mit all diesen Outfits mit sich?	"Ich meine, was bringt jemand mit so vielen Outfits mit?"
Ich zeige Ihnen, was ich mitgebracht habe.	"Ich werde Euch also ganz genau zeigen, was ich mitgebracht habe."
Ich brachte sieben Paar Unterhosen mit und das war 's.	"Ich habe sieben Paar Unterhosen mitgebracht, und das ist alles."
Später erfuhr ich, dass ungefähr zur gleichen Zeit, Javier und Octavio über die Herausforderung der Reform in Honduras nachdachten.	"Später habe ich herausgefunden, dass, etwa um die gleiche Zeit, Javier und Octavio über die Herausforderung einer Reform in Honduras nachgedacht haben."
Sie wussten, dass ungefähr 75.000 Honduraner jedes Jahr in die USA ziehen würden, und sie wollten wissen, was sie tun könnten, um sicherzustellen, dass diese Menschen in Honduras bleiben und die gleichen Dinge tun könnten.	"Sie wussten, dass jedes Jahr ungefähr 75.000 Honduraner ihr Land verlassen, um in die Vereinigten Staaten auszuwandern, und sie wollten wissen, was sie tun könnten, um sicher zu stellen, dass diese Menschen in ihrem Land bleiben können und genau das selbe in Honduras tun können."
Irgendwann sagte Havíer zu Octavio: Was wäre, wenn wir etwas von unserem leeren Land an eine Botschaft geben würden, an die US-Botschaft, an die kanadische Botschaft, und wenn die Leute dann unter den Regeln von Kanada oder den Regeln der Vereinigten Staaten arbeiten wollen, könnten sie Jobs finden, alles tun, was sie sonst in Kanada oder den USA tun müssten.	"An dieser Stelle hat Javier zu Octavio gesagt, ""Was passiert, wenn wir eine unbesiedelte Fläche unseres Landes nehmen- was, wenn wir sie einfach einer Botschaft geben- einen Teil der Amerikanischen Botschaft; einen Teil der Kanadischen Botschaft- und wenn die Leute dann arbeiten gehen wollen unter den Kanadischen Regeln oder denen der Vereinigten Staaten, können sie dort arbeiten, und können auf der Fläche dieser Botschaften alles machen, wozu sie normalerweise nach Kanada oder Amerika gehen müssten?"""
Im Sommer 2009 erlebte Honduras eine entsetzliche Verfassungskrise.	Im Sommer 2009 litt Honduras unter einer heftigen Verfassungskrise.
Die nächste regelmäßige Wahl gewann Pepe Lobo mit einer Mehrheit, auf einer Plattform, die Reformen versprach, aber auch Versöhnung.	"Bei den nächsten planmäßigen Wahlen, gewann Pepe Lobo in einem Umschwung, dessen Programm sowohl Neuerungen, als auch Schlichtung versprach."
2007 beschloss ich, dass wir unsere Vorstellung von wirtschaftlicher Entwicklung überdenken mussten.	"Im Jahr 2007 habe ich beschlossen, dass wir rekonzeptualisieren sollten wie wir über wirtschaftliche Entwicklung denken."
Er bat Octavio um seine Hilfe.	"Er forderte Octavio auf, sein Stabschef zu werden."
Währenddessen bereitete ich mich auf einen Vortrag bei TEDGlobal vor.	In der Zwischenzeit bereitete ich mich auf einen Vortrag bei TEDGlobal vor.
Durch einen Prozess der Verfeinerung, Versuch und Irrtum, viel Benutzer-Testing, habe ich versucht, dieses komplizierte Konzept der Charter City auf die Grundlagen zu reduzieren.	"Durch Verbesserung, Ausprobieren und durch die Untersuchung von Verbrauchern, habe ich versucht dieses komplizierte Konzept der Charter City auf die wesentlichen Elemente zu reduzieren."
Der erste Punkt war die Wichtigkeit von Regeln, wie die Regeln, die sagen, dass man nicht hereinkommen darf und die bestehenden Wohnungsbesitzer stört.	"Der erste Punkt, ist die Wichtigkeit von Gesetzen, Gesetze, die bestimmen, dass man bereits existierende Wohnungsbesitzer nicht stören darf."
Wir achten sehr auf neue Technologien, aber es braucht Technologien und Regeln, um Fortschritte zu machen, und es sind meist die Regeln, die uns zurückhalten.	"Wir schenken neuen Technologien große Beachtung, aber für den Fortschritt bedarf es Technologien und Gesetzen. Und es sind für gewöhnlich Gesetze, die uns zurückhalten."
Im Herbst 2010 schickte ihm ein Freund aus Guatemala einen Link zu TED.	Im Herbst 2010 schickte ein Freund aus Guatemala Octavio den Link zu dem TEDTalk.
Er zeigte es Havíer. Sie riefen mich an. Sie sagten: „Lasst uns das den Anführern unseres Landes präsentieren.“ Im Dezember trafen wir uns in Miami in einem Hotelzimmer.	"Der wiederum zeigte ihn Javier. Die beiden riefen mich an. Und sagten, ""Lass uns das den Vorsitzenden unseres Landes präsentieren!"" Also trafen wir uns im Dezember in dem Sitzungssaal eines Hotels in Miami."
Unser neues Ziel sollte sein, dass jede Familie darüber nachdenkt, wo sie leben und arbeiten möchte, dass sie zwischen mindestens einer Handvoll verschiedener Städte wählen kann, die alle darum kämpfen, neue Einwohner anzuziehen.	"Es sollte unser Ziel sein, dass, wenn Familien darüber nachdenken, wo sie leben und arbeiten wollen, ihnen die Möglichkeit gegeben ist, zwischen mindestens einer Hand voll verschiedener Städte auszuwählen, die alle in Konkurrenz um neue Bewohner stehen."
Ich versuche zu erklären, wie wertvoll Städte sind, wie viel wertvoller sie sind als sie kosten.	"Ich habe versucht deutlich zu machen, wie wertvoll Städte sind, um wie viel wertvoller sie sind als sie kosten."
Und ich benutzte diese Folie, um zu zeigen, wie wertvoll das Rohland an einem Ort wie New York City ist. Beachten Sie, Land, das manchmal tausende von Dollar pro Quadratmeter wert ist.	"Und ich habe diese Grafik verwendet, um zu zeigen wie wertvoll Rohland ist an einem Ort wie New York. Denken Sie daran, dass eine Fläche in manchen Fällen pro Quadratmeter tausende von Dollars wert ist."
Aber es war eine recht abstrakte Diskussion, und als es eine Pause gab, sagte Octavio: „Paul, vielleicht schauen wir uns das TED-Video an.	"Aber es war eine ziemlich abstrakte Diskussion, an an einer Stelle als es eine Pause gab, hat Octavio gesagt, ""Paul, könnten wir uns vielleicht den TEDTalk ansehen."""
	(Beifall)
Der TED-Vortrag beschreibt in sehr einfachen Worten, dass eine Freistadt ein Ort ist, wo man mit unbewohnten Land beginnt, eine Charter, die die Regeln beschreibt, die dort gelten, und dann die Möglichkeit für Menschen, sich einzuschließen, um unter diesen Regeln zu leben oder nicht.	"Der TEDTalk stellte also in sehr einfacher Form dar, dass eine Charter City ein Ort ist, dessen Anfang unbewohntes Land ist, ein Gründungsvertrag, der die Gesetze festlegt, die dort herrschen und den Menschen die Möglichkeit bietet sich zu entscheiden, entweder unter diesen Regeln zu leben oder nicht."
Ich wurde von dem Präsidenten von Honduras gebeten, der sagte, dass wir dieses Projekt machen müssen. Das ist wichtig. Das könnte der Weg für unser Land sein.	"Darum wurde ich von dem Präsidenten von Honduras gebeten, der meinte, dass wir dieses Projekt verwirklichen müssen, dass es wichtig ist, und dass dies der Weg ist unser Land voran zu bringen."
Man bat mich, nach Uruguay zu kommen und am 4. und 5. Januar zu sprechen.	Ich wurde gebeten nach Tegucigalpa zu kommen und noch einmal am vierten und fünften Januar einen Vortrag zu halten.
Also präsentierte ich eine weitere lehrreiche Präsentation, die eine Folie wie diese beinhaltete, die versuchte, zu zeigen, dass wenn man eine Sprache lernen möchte, wie man viel Wert in einer Stadt schafft, sie sehr groß sein muss.	"Also habe ich einen weiteren mit Fakten gefüllten Vortrag gehalten, der eine Grafik wie dieses beinhaltet hat, die versucht zu verdeutlichen, dass, wenn man viel Wert schaffen will in einer Stadt, es eine sehr große Stadt sein muss."
Das ist ein Bild von Denver, und die Linie ist der neue Flughafen, der in Denver gebaut wurde.	"Das ist ein Bild der Stadt Denver, und die Skizze stellt den neuen Flughafen dar, der in Denver gebaut wurde."
Dieser Flughafen allein bedeckt mehr als 100 Quadratkilometer.	Alleine dieser Flughafen hat eine Fläche von 100 Quadratkilometern.
Also versuchte ich die 100er zu überzeugen, wenn man eine neue Stadt baut, muss man mit einem Gelände beginnen, das mindestens 1000 km ² groß ist.	"Ich habe also versucht die Honduraner davon zu überzeugen, wenn man eine neue Stadt bauen will, man mit einem Gebiet von mindestens 1000 Quadratkilometern beginnen muss."
Das sind mehr als 250.000 Hektar. Alle applaudierten höflich. Die Gesichter im Publikum waren sehr ernst und aufmerksam.	Das sind mehr als 250 tausend Morgen. Höflich haben alle applaudiert. Die Gesichter der Zuschauer waren sehr ernst und aufmerksam.
Ein führender Kongressabgeordneter kam auf die Bühne und sagte: „Professor Romer, vielen Dank für Ihren Vortrag, aber vielleicht können wir den TEDTalk sehen.	"Der Leiter des Kongresses kam auf die Bühne und hat gesagt, ""Professor Romer, ich danke Ihnen herzlich für Ihren Vortrag, aber könnten wir vielleicht den TEDTalk anschauen."
Ich habe es hier auf meinem Laptop. (Lachen) Also setzte ich mich hin und sie spielten den TEDTalk.	"Ich habe ihn hier auf meinem Laptop. ""Ich habe mich also hingesetzt, und sie haben den TEDTalk abgespielt."
Und es kam auf das Wesentliche, nämlich dass eine neue Stadt neue Möglichkeiten für Menschen bieten könnte.	"Und ich bin zu der Kernaussage gekommen, dass eine neue Stadt den Menschen neue Möglichkeiten bietet."
Es gäbe eine Stadt, die man besuchen könnte, z.B. in Honduras, anstatt hunderte von Meilen im Norden.	"Es gäbe die Möglichkeit in einer Stadt zu leben, die in Honduras wäre, anstatt hunderte von Kilometern entfernt im Norden."
Und es beinhaltete auch neue Wahlmöglichkeiten für Führungskräfte.	Und eine neue Stadt schließt auch neue Möglichkeiten für Führungskräfte mit ein.
Denn die Regierung dort in Honduras brauchte Hilfe von Partnerländern oder konnte von Partnerländern profitieren, die ihnen bei der Erstellung der Regeln und der Durchsetzung helfen, sodass jeder darauf vertrauen kann, dass die Charta wirklich umgesetzt wird.	"Die Führungskräfte der Regierung in Honduras wären auf die Hilfe aus Partnerländern angewiesen, sie könnten von ihren Partnerländern profitieren, die sie bei dem Aufstellen der Gesetze für diesen Charta und bei der Durchführung unterstützen würden, dass jeder darauf vertrauen kann, dass der Charta wirklich durchgesetzt wird."
Wir sind noch weit davon entfernt.	Im Moment befinden wir uns weit entfernt von diesem Ziel.
Und die Erkenntnis von Präsident Lula war, dass diese Gewissheit der Durchsetzung, über die ich nachdachte, eine Möglichkeit war, die ausländischen Investoren dazu zu bringen, in die Stadt zu kommen und sie zu bauen, genauso gut für alle verschiedenen Parteien in Brasilien sein könnte, die so viele Jahre unter Angst und Misstrauen gelitten hatten.	"Und die Erkenntnis von Präsident Lobo, war, dass die Gewissheit der Durchsetzung über die ich nachgedacht habe als einen Weg die ausländischen Investoren dazu zu bringen herzukommen und diese Stadt zu bauen gleichbedeutend sein könnte für alle Parteien in Honduras, die seit vielen Jahren unter Angst und Misstrauen leiden."
Wir schauten uns eine Stelle an.	Wir sind in ein Gebiet gefahren.
Dieses Bild ist von dort.	Dieses Bild ist von diesem Ort.
Es könnte einfach 1000 Quadratkilometer beinhalten.	Es fasst mühelos tausend Quadratkilometer.
Und kurz danach, am 19. Januar, stimmten sie im Kongress dafür, ihre Verfassung zu ändern, um eine verfassungsmäßige Regelung für Sonderzonen zu schaffen.	"Und kurz danach, am 19. Januar, haben sie bei dem Kongress für eine Änderung der Verfassung gestimmt, um eine verfassungsgemäße Regelung zu haben, die für spezielle Entwicklungsgebiete zulässig ist."
Es gibt Milliarden von Menschen in Entwicklungsländern, die nicht einmal eine einzige Stadt haben, die bereit wäre, sie willkommen zu heißen.	"Es gibt Milliarden von Menschen in Entwicklungsländern, denen nicht einmal eine einzige Stadt zur Verfügung steht, die sie willkommen heißen würde."
In einem Land, das gerade eine entsetzliche Krise durchgemacht hatte, war die Abstimmung im Kongress für diesen Verfassungszusatz 124 zu 1.	"In einem Land, das gerade eine heftige Krise hinter sich hat, wurde in dem Kongress für diese Verfassungsänderung mit 124 zu einer Stimme gewählt."
Alle Parteien, alle Gruppierungen in der Gesellschaft unterstützen ihn.	"Alle Parteien, alle Fraktionen der Gesellschaft, unterstützten dies."
Um Teil der Verfassung zu werden, muss es zweimal im Kongress verabschiedet werden.	"Um Teil der Verfassung zu werden, muss es aber zweimal durch den Kongress genehmigt werden."
Am 17. Februar wurde es erneut mit 114 zu 1 angenommen.	Am 17. Februar wurde es zum zweiten Mal mit 114 zu einer Stimme genehmigt.
Direkt nach dieser Abstimmung, vom 21. bis zum 24. Februar, gab es eine Delegation von ungefähr 3000 Leuten, die an zwei Orten der Welt waren, die am meisten daran interessiert waren, sich im Städtebau zu beteiligen.	"Unmittelbar nach dieser Wahl, zwischen dem 21. und dem 24. Februar, reiste eine Delegation von ungefähr 30 Hunduranern an die zwei Orte der Welt, die am meisten daran interessiert waren, in das Geschäft des Städtebaus einzusteigen."
Eine ist Südkorea.	Der eine Ort ist Südkorea.
Das ist ein Bild eines großen neuen Stadtzentrums, das in Südkorea gebaut wird, größer als Downtown Boston.	"Dies ist ein Bild von einem großen, neuen Stadtzentrum, das in Südkorea gebaut wurde- großer als das Stadtzentrum Bostons."
Alles, was Sie dort sehen, wurde in vier Jahren gebaut, nachdem sie vier Jahre damit verbracht hatten, die Genehmigungen zu bekommen.	"Alles, was Sie auf diesem Bild sehen können, wurde innerhalb von vier Jahren erbaut, nachdem es vier Jahre gedauert hat, die Genehmigungen zu erhalten."
Ein anderer Ort, der sich sehr für Stadtentwicklung interessiert, ist Singapur.	"Der andere Ort, der sehr am Städtebau interessiert war, ist Singapur."
Sie haben bereits zwei Städte in China gebaut und bereiten die dritte vor.	Es wurden bereits zwei Städte in China erbaut und die Dritte ist in Vorbereitung.
Das Erstaunliche an Städten ist, dass sie so viel mehr wert sind, als sie zu bauen kostet.	"Aber das Erstaunliche an Städten ist, dass sie so viel mehr wert sind, als es kostet sie zu bauen."
Wenn Sie praktisch darüber nachdenken, sind wir hier.	"Wenn Sie also praktisch gesehen darüber nachdenken, ist es das, wo wir heute stehen."
Sie haben eine Webseite. Sie denken bereits über die Webseite für die zweite Stadt nach.	Sie haben bereits ein Baugrundstück; und sie erwägen bereits diese Fläche für die zweite Stadt.
Sie haben ein Rechtssystem eingeführt, das es Managern erlaubt, einzugreifen, und auch ein externes Rechtssystem.	"Es wird bereits an einem Rechtssystem gearbeitet, dass Managern erlaubt teilzunehmen, und es wird auch an einem externen Rechtssystem gearbeitet."
Ein Land hat bereits zugestimmt, seine oberste Gerichtshof als letztes Berufungsgericht für das neue Rechtssystem zu nutzen.	"Ein Land hat bereits angeboten seinen Obersten Gerichtshof zur Verfügung zu stellen, als Gericht für die entgültige Berufung des dortigen gerichtlichen Systems."
Es gibt Designer und Stadtplaner, die sehr daran interessiert sind.	Auch Städtedesigner und -bauer sind sehr interessiert.
Sie können sogar etwas Finanzierung mitbringen.	Sie bringen sogar Finanzierung mit ein.
Aber die eine Sache, die Sie wissen, die sie bereits gelöst haben, ist, dass es viele Miete sind.	"Eine Sache, wie Sie bereits wissen, wurde schon geklärt, es gibt viele Mieter."
Es gibt viele Unternehmen, die sich gerne in den Amerikas niederlassen möchten, vor allem an einem Ort mit einer freien Handelszone, und es gibt viele Menschen, die dorthin gehen möchten.	"Es gibt viele Betriebe, die sich gerne in Amerika ansiedeln würden, besonders an einem Ort mit einer Freihandelszone, und es gibt viele Menschen, die gerne dort wohnen würden."
Auf der ganzen Welt gibt es 700 Millionen Menschen, die sagen, dass sie gern jetzt dorthin ziehen würden.	"Auf der ganzen Welt gibt es 700 Millionen Menschen, die angeben, dass sie gerne dauerhaft an einem anderen Ort leben möchten."
Es gibt eine Million pro Jahr, die Lateinamerika verlassen, um in die Vereinigten Staaten zu gehen.	Eine Millionen Menschen verlassen jährlich Lateinamerika und wandern in die Vereinigten Staaten aus.
Viele von ihnen sind Väter, die ihre Familie zurücklassen müssen, um einen Job zu finden, manchmal ist es eine alleinerziehende Mutter, die genug Geld verdienen muss, um Essen oder Kleidung zu bezahlen.	"Viele von ihnen sind Väter, die gezwungen sind, ihre Familien zurückzulassen, um sich Arbeit zu suchen- manchmal sind es alleinerziehende Mütter, die genug Geld verdienen müssen, um sich Essen und Kleidung leisten zu können."
Leider gibt es manchmal sogar Kinder, die versuchen, mit ihren Eltern wieder in Kontakt zu kommen, die sie in manchen Fällen seit 10 Jahren nicht mehr gesehen haben.	"Leider sind es manchmal sogar Kinder, die versuchen ihre Eltern wieder zu finden, die sie, in manchen Fällen, seit einem Jahrzehnt nicht mehr gesehen haben."
Also könnten wir die Welt leicht mit Dutzenden, vielleicht Hunderten von neuen Städten versorgen.	"Wir könnten die Welt also sehr einfach mit duzenden, vielleicht sogar hunderten von neuen Städten ausrüsten."
Was für eine Idee ist es also, darüber nachzudenken, eine brandneue Stadt in Houston zu bauen?	"Was ist es also für eine Idee, darüber nachzudenken in Honduras eine völlig neue Stadt zu bauen?"
Oder ein Dutzend davon zu bauen, oder hundert davon auf der ganzen Welt.	"Oder sogar duzende von diesen Städten zu bauen, oder hunderte auf der ganzen Welt verteilt?"
Was für eine Idee ist es, darauf zu bestehen, dass jede Familie die Wahl zwischen mehreren Städten hat, die um neue Einwohner kämpfen?	"Was ist es also für eine Idee, darauf zu bestehen, dass jede Familie eine Wahl zwischen mehreren Städten hat, die in Konkurrenz um neue Bewohner stehen?"
Das ist eine Idee, die es wert ist, verbreitet zu werden.	"Das ist eine Idee, die sich lohnt zu verbreiten."
Meine Freunde aus Honduras haben mich gebeten, TED zu bedanken.	"Meine Freunde aus Honduras haben mich gebeten zu sagen, Danke TED."
Das klingt vielleicht absurd, wenn Sie noch nie über neue Städte nachgedacht haben.	"Das klingt jetzt vielleicht absurd für Sie, sofern Sie noch nie über neue Städte nachgedacht haben."
Man ersetzt Wohngebäude einfach durch Städte.	Tauschen Sie doch einfach den Bau von Wohnungen gegen den von Städten aus.
Stellen Sie sich vor, die Hälfte der Leute, die in Wohnungen leben wollen, hätten sie bereits. Die andere Hälfte hat sie noch nicht.	"Stellen Sie sich vor, die Hälfte der Leute, die in Wohnungen leben wollen, täten dies bereits; die andere Hälfte aber noch nicht."
Man könnte versuchen, die Kapazität zu erweitern, indem man alle bestehenden Wohnungen erweitert.	Sie könnten versuchen die Kapazität der bereits existierende Wohnungen zu erweitern.
Wussten Sie, dass Sie in den Wohnungen und in der Umgebung Regeln treffen würden, um Unannehmlichkeiten und Baustörungen zu vermeiden?	"Aber wissen Sie worauf Sie sich da einlassen würden, in diesen Wohnungen und deren Umgebung herrschen Gesetze um Beschwerden zu vermeiden und vom Ausbau abzulenken."
Es ist extrem schwer, all diese Additionen durchzuführen.	Es stellt sich also als sehr schwer heraus all diesen Erweiterungen nachzukommen.
Man könnte irgendwo neu anfangen, ein brandneues Wohngebäude bauen, solange der Regelungen dort solche waren, die die Konstruktion förderten und nicht im Weg standen.	"Aber man könnte an einen völlig neuen Ort gehen, ein komplett neuen Wohnblock bauen, vorausgesetzt die Gesetze dort würden einen solchen Bau unterstützen und ihn nicht behindern."
Also schlug ich vor, dass Regierungen neue Reformzonen schaffen sollten, groß genug, um ganze Städte zu umfassen, und sie Charter-Städte nennen sollten.	"Ich habe also vorgeschlagen, dass Regierungen neue Flächen schaffen, die genug Platz für eine Stadt bieten und habe ihnen einen Namen gegeben: Charter Cities."
Und ich möchte etwas ziemlich Radikales für eine Feministin sagen, und das ist, dass ich denke, dass es vielleicht verschiedene Arten von Erkenntnissen geben kann, die von verschiedenen Arten von Anatomien kommen können, besonders wenn wir Leute in Gruppen denken.	"Und ich möchte etwas sagen, das für eine Feministin etwas radikal ist, und zwar denke ich, dass es verschiedene Arten Einsichten geben könnte, die von verschiedenen Arten der Anatomie herrühren, insbesonders wenn Menschen ein Gruppendenken anwenden."
Weil ich mich für Intersex interessiere, habe ich mich auch für Geschlechterforschung interessiert.	"Seit Jahren schon, weil ich an Intersexualität interessiert war, habe ich mich auch für Forschung im Bereich der Geschlechterdifferenz interessiert."
Und eines der Dinge, an denen ich wirklich interessiert bin, ist die Betrachtung der Unterschiede zwischen Männchen und Weibchen in Bezug auf die Art, wie sie denken und in der Welt agieren.	"Und eines der Dinge, die ich wirklich interessant fand, ist der Unterschied zwischen Männern und Frauen in Hinsicht darauf, wie sie denken und in der Welt agieren."
Und was wir aus kulturübergreifenden Studien wissen ist, dass Frauen, im Durchschnitt, nicht jede, aber im Durchschnitt, eher dazu neigen, sehr aufmerksam auf komplexe soziale Beziehungen zu sein und sich um Menschen zu kümmern, die im Grunde verletzlich in der Gruppe sind.	"Was wir aus kulturübergreifenden Studien erfahren haben, ist, dass Frauen, im Durchschnitt -- nicht jede, aber im Durchschnitt -- eher dazu neigen komplexen sozialen Beziehungen und der Fürsorge für Menschen, die innerhalb der Gruppe verwundbar sind, sehr viel Aufmerksamkeit zu geben."
Und eine Menge von dem, woran ich gearbeitet habe, sind Menschen, die atypische Geschlechtsidentitäten haben, also Menschen, die nicht den typischen männlichen oder weiblichen Körpertypen entsprechen.	"Und sehr oft habe ich mit intersexuellen Menschen gearbeitet, deren Geschlecht atypisch ist -- also Menschen, die nicht die durchschnittlichen männlichen oder weiblichen Körpertypen aufweisen."
Wenn wir also darüber nachdenken, haben wir eine interessante Situation.	"Und deshalb, wenn wir darüber nachdenken haben wir eine interessante Situation vor uns."
Vor einigen Jahren, als ich noch im Aufbaustudium war, wusste einer meiner Berater, dass ich mich für Feminismus interessierte und mich selbst als Feministin betrachtete, wie ich es immer noch tue, eine wirklich seltsame Frage stellte.	"Vor Jahren, als ich ein Aufbaustudium machte, fragte mich einer meiner Studienbetreuer, der mein Interesse an Feminismus kannte -- ich betrachtete mich als Feministin, so tue es noch -- eine wirklich eigenartige Frage."
"Er sagte: ""Sag mir, was weiblich an Feminismus ist."" Und ich dachte, das ist die dümmste Frage, die ich je gehört habe."	"Er sagte, ""Sagen Sie mir, was am Feminismus weiblich ist."" Und ich dachte, ""Nun, das ist die dümmste Frage, die ich je gehört habe."
Bei Feminismus geht es um das Aufbrechen von Stereotypen über Geschlechterrollen, also gibt es nichts Weibliches am Feminismus. Aber je mehr ich über diese Frage nachdachte, desto mehr dachte ich, dass es etwas Weibliches am Feminismus geben könnte.	"Im Feminismus geht es darum Klischees über Geschlecht aufzulösen, deshalb ist am Feminismus nichts weiblich. Aber je mehr ich über seine Frage nachdachte, um so mehr dachte ich, dass es etwas Weibliches im Feminismus geben könnte."
Das heißt, es könnte im Durchschnitt etwas anderes am weiblichen Gehirn als am männlichen Gehirn geben, das uns zu mehr Aufmerksamkeit für tief komplexe soziale Beziehungen und mehr Aufmerksamkeit für die Verletzlichen führt.	"Das soll heißen, es könnte etwas geben, im Durchschnitt, wodurch sich weibliche Gehirne von männlichen unterscheiden was uns aufmerksamer für hochkomplexe soziale Beziehungen macht, und aufmerksamer dafür für die Schutzbedürftige zu sorgen."
Während die Väter also sehr darauf achten, herauszufinden, wie man Individuen vor dem Staat schützt, ist es möglich, dass, wenn wir mehr Mütter in dieses Konzept einbeziehen, wir eher ein Konzept bekommen, wie man nicht nur schützt, sondern sich um einander kümmert.	"Wo die Gründungsväter also extrem bedacht waren herauszufinden wie Individuen vor dem Staat geschützt werden konnten, ist es möglich, dass, wenn wir mehr Mütter in dieses Konzept einbrächten, wir mehr ein Konzept bekämmen von, nicht nur wie man schützt, sondern wie wir für einander sorgen können."
Und vielleicht müssen wir in der Zukunft dahin gehen, wenn wir Demokratie über die Anatomie hinaus nehmen, und weniger über den individuellen Körper in Bezug auf die Identität denken, und mehr über diese Beziehungen.	"Und vielleicht ist es das, wohin wir in Zukunft gehen müsse, wenn wir Demokratie über Anatomie hinausführen -- weniger über den individuellen Körper nachzudenken was Identität betrifft, und mehr über Beziehungen nachzudenken."
So dass wir, die Menschen, versuchen, eine perfektere Union zu schaffen, überlegen, was wir für einander tun.	"So dass, wenn wir als Volk versuchen eine perfektere Verbindung herzustellen, wir darüber nachdenken, was wir für einander tun können."
Vielen Dank.	Vielen Dank.
